"fecha","CABA","COMUNA 01","COMUNA 03","COMUNA 04","COMUNA 07","COMUNA 08"
2020-03-21,34,2,1,0,0,0
2020-03-22,19,0,0,0,1,0
2020-03-23,42,1,1,0,2,0
2020-03-24,26,0,1,0,0,1
2020-03-25,32,0,0,1,1,0
2020-03-26,29,0,1,0,2,0
2020-03-27,23,0,1,0,2,0
2020-03-28,18,0,0,0,0,1
2020-03-29,22,0,0,0,0,0
2020-03-30,24,0,0,0,1,0
2020-03-31,20,0,0,1,0,0
2020-04-01,34,0,0,2,2,0
2020-04-02,24,0,3,0,1,0
2020-04-03,23,1,0,1,0,1
2020-04-04,25,2,0,0,3,0
2020-04-05,18,1,0,1,0,0
2020-04-06,21,2,0,0,2,1
2020-04-07,17,1,1,1,2,0
2020-04-08,21,1,0,0,0,0
2020-04-09,14,0,0,2,0,0
2020-04-10,27,2,0,2,0,2
2020-04-11,24,1,1,0,3,0
2020-04-12,20,1,0,0,4,1
2020-04-13,29,2,0,0,3,0
2020-04-14,29,2,0,1,4,1
2020-04-15,29,2,0,0,5,0
2020-04-16,49,2,2,0,5,0
2020-04-17,37,3,0,0,2,0
2020-04-18,43,3,1,0,6,0
2020-04-19,44,3,1,0,4,1
2020-04-20,66,9,0,3,2,4
2020-04-21,61,2,2,1,5,2
2020-04-22,68,4,1,3,5,0
2020-04-23,45,6,1,4,5,1
2020-04-24,62,10,0,5,7,0
2020-04-25,44,9,0,1,2,0
2020-04-26,40,5,0,0,1,0
2020-04-27,54,20,2,1,3,0
2020-04-28,57,19,1,0,7,0
2020-04-29,55,16,0,1,4,0
2020-04-30,85,30,1,2,7,0
2020-05-01,118,42,0,2,9,1
2020-05-02,92,35,0,1,10,0
2020-05-03,132,50,1,2,11,3
2020-05-04,126,46,0,0,12,1
2020-05-05,151,51,0,3,17,1
2020-05-06,159,66,1,3,12,2
2020-05-07,172,66,0,8,18,2
2020-05-08,194,89,0,2,27,4
2020-05-09,180,67,0,8,29,1
2020-05-10,216,71,2,8,32,2
2020-05-11,230,65,4,13,41,5
2020-05-12,257,78,4,8,33,3
2020-05-13,261,65,5,11,30,5
2020-05-14,297,73,3,10,37,11
2020-05-15,350,76,7,17,35,8
2020-05-16,304,70,10,19,41,8
2020-05-17,322,77,8,18,40,10
2020-05-18,436,90,10,18,69,10
2020-05-19,342,65,11,25,40,7
2020-05-20,446,69,11,41,80,20
2020-05-21,363,56,9,28,64,14
2020-05-22,412,65,9,28,68,21
2020-05-23,401,62,8,38,61,15
2020-05-24,356,40,7,33,49,18
2020-05-25,437,49,14,35,64,17
2020-05-26,436,60,11,33,58,26
2020-05-27,400,35,13,37,45,24
2020-05-28,405,28,15,33,57,23
2020-05-29,415,30,8,41,51,28
2020-05-30,398,28,13,40,75,23
2020-05-31,368,18,14,33,52,18
2020-06-01,562,31,20,42,82,52
2020-06-02,452,23,14,45,56,40
2020-06-03,493,27,19,41,86,36
2020-06-04,533,23,19,64,67,48
2020-06-05,546,23,27,51,73,41
2020-06-06,579,22,19,57,70,56
2020-06-07,557,18,17,52,58,45
2020-06-08,599,17,16,56,63,74
2020-06-09,578,25,17,55,60,59
2020-06-10,620,15,19,53,45,81
2020-06-11,586,16,14,42,47,82
2020-06-12,683,15,23,57,49,83
2020-06-13,678,16,15,81,47,63
2020-06-14,680,21,24,60,37,66
2020-06-15,802,21,29,87,46,86
2020-06-16,891,31,34,92,50,112
2020-06-17,854,15,29,94,41,107
2020-06-18,915,32,34,98,30,108
2020-06-19,863,22,32,100,37,99
2020-06-20,906,34,28,108,33,107
2020-06-21,851,23,24,97,39,92
2020-06-22,949,29,32,92,63,114
2020-06-23,869,22,33,72,40,100
2020-06-24,857,26,18,78,37,89
2020-06-25,782,23,31,78,30,89
2020-06-26,848,20,26,87,38,93
2020-06-27,862,24,31,103,33,99
2020-06-28,831,17,28,57,23,80
2020-06-29,950,36,31,59,28,95
2020-06-30,902,29,40,59,32,84
2020-07-01,1087,26,36,68,34,108
2020-07-02,972,27,27,81,25,100
2020-07-03,1056,23,30,74,44,90
2020-07-04,934,29,42,55,31,79
2020-07-05,901,15,31,65,25,63
2020-07-06,1008,28,38,62,42,69
2020-07-07,982,31,42,59,43,71
2020-07-08,942,26,45,65,42,65
2020-07-09,956,30,41,51,29,67
2020-07-10,1019,34,45,68,36,63
2020-07-11,977,35,41,81,40,68
2020-07-12,1048,49,53,91,37,64
2020-07-13,1150,52,52,89,45,91
2020-07-14,1147,58,42,83,49,80
2020-07-15,1158,48,51,102,46,80
2020-07-16,1093,42,32,78,51,93
2020-07-17,1213,40,49,94,58,77
2020-07-18,1140,48,43,75,46,87
2020-07-19,1113,42,41,75,47,69
2020-07-20,1392,46,57,106,59,98
2020-07-21,1150,49,38,82,62,72
2020-07-22,1090,39,37,84,45,61
2020-07-23,1103,35,37,78,48,59
2020-07-24,1042,58,41,71,40,63
2020-07-25,1016,43,29,61,59,60
2020-07-26,1002,33,27,60,52,50
2020-07-27,1200,51,44,92,48,79
2020-07-28,1096,56,40,74,49,69
2020-07-29,1134,57,48,100,49,82
2020-07-30,1143,45,46,77,51,75
2020-07-31,1224,57,65,107,45,91
2020-08-01,1289,50,67,113,51,81
2020-08-02,1204,48,56,94,33,79
2020-08-03,1310,53,48,107,53,91
2020-08-04,1115,50,44,81,45,73
2020-08-05,1105,61,42,64,46,74
2020-08-06,1049,44,45,62,34,59
2020-08-07,1036,25,45,60,42,60
2020-08-08,978,34,45,62,31,49
2020-08-09,940,30,35,53,24,42
2020-08-10,1080,52,44,75,44,44
2020-08-11,973,41,37,66,35,47
2020-08-12,984,42,43,64,44,48
2020-08-13,1002,37,38,49,37,57
2020-08-14,1065,53,37,61,40,52
2020-08-15,1062,47,52,57,42,50
2020-08-16,1102,46,50,65,26,54
2020-08-17,1222,41,55,62,61,52
2020-08-18,1194,36,52,79,45,41
2020-08-19,1211,41,42,82,43,51
2020-08-20,1217,29,57,64,36,39
2020-08-21,1157,25,39,52,36,35
2020-08-22,1199,39,30,49,34,33
2020-08-23,1278,31,37,43,46,41
2020-08-24,1349,38,51,56,42,41
2020-08-25,1297,36,42,36,40,30
2020-08-26,1207,32,27,58,39,31
2020-08-27,1218,27,25,55,38,32
2020-08-28,1143,32,20,55,37,28
2020-08-29,1057,36,31,43,26,30
2020-08-30,1035,26,21,41,21,30
2020-08-31,1199,34,47,43,38,20
2020-09-01,1064,37,30,31,35,26
2020-09-02,972,29,21,28,19,20
2020-09-03,906,23,31,29,13,24
2020-09-04,892,25,19,23,16,12
2020-09-05,765,21,19,23,24,21
2020-09-06,672,22,17,28,11,14
2020-09-07,590,16,18,22,20,14
2020-09-08,387,11,6,9,16,7
2020-09-09,233,7,7,8,3,9
2020-09-10,35,1,2,3,2,0
2020-09-11,1,0,0,0,0,0
